name,norad_id,epoch_year,epoch_day,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,bstar_drag,classification,source,line1,line2,semi_major_axis_km,orbital_period_min,altitude_km
STARLINK-35205,65679,26,216.72860785,53.1605,16.3041,5.83e-05,295.7886,64.3057,920.6348075999999,0.00069045,U,active,1 65679U 25212D   26216.72860785  .00023017  00000+0  69045-3 0  9994,2 65679  53.1605  16.3041 0000583 295.7886  64.3057 15.34391346 49884,6840.865961839744,93.84828738469697,469.86596183974416
STARLINK-35070,65680,26,216.84621765,53.162,17.0287,6.59e-05,96.8269,263.2808,919.0176756,0.00078601,U,active,1 65680U 25212E   26216.84621765  .00024101  00000+0  78601-3 0  9995,2 65680  53.1620  17.0287 0000659  96.8269 263.2808 15.31696126 49933,6848.888543442401,94.01342574134055,477.888543442401
STARLINK-35230,65681,26,216.97863707,53.1616,15.019100000000002,8.28e-05,85.3509,274.7588,920.6268191999999,0.00065909,U,active,1 65681U 25212F   26216.97863707  .00021942  00000+0  65909-3 0  9991,2 65681  53.1616  15.0191 0000828  85.3509 274.7588 15.34378032 49982,6840.905534511667,93.84910171863045,469.9055345116667
STARLINK-35235,65682,26,216.70919883,53.1608,14.760699999999998,5.73e-05,105.5398,254.5668,920.6423208000001,0.00065064,U,active,1 65682U 25212G   26216.70919883  .00021673  00000+0  65064-3 0  9993,2 65682  53.1608  14.7607 0000573 105.5398 254.5668 15.34403868 49903,6840.828743720111,93.84752150533551,469.82874372011065
STARLINK-34886,65683,26,216.477289,53.15970000000001,18.2836,0.0002907,84.0756,276.0577,919.0286982,0.0005989400000000001,U,active,1 65683U 25212H   26216.47728900  .00018275  00000+0  59894-3 0  9994,2 65683  53.1597  18.2836 0002907  84.0756 276.0577 15.31714497 49836,6848.833780763851,94.0122981678615,477.8337807638509
STARLINK-34795,65684,26,216.81899348,53.1591,16.1571,0.0001101,98.4001,261.7126,920.6323878000001,0.00083224,U,active,1 65684U 25212J   26216.81899348  .00027835  00000+0  83224-3 0  9994,2 65684  53.1591  16.1571 0001101  98.4001 261.7126 15.34387313 49894,6840.877948904594,93.84853405653779,469.8779489045937
STARLINK-35145,65685,26,216.44912849,53.1614,17.400900000000004,0.0001674,120.9699,239.1469,920.6413229999998,0.00081123,U,active,1 65685U 25212K   26216.44912849  .00027134  00000+0  81123-3 0  9994,2 65685  53.1614  17.4009 0001674 120.9699 239.1469 15.34402205 49842,6840.83368649027,93.84762321819005,469.83368649027034
STARLINK-35137,65686,26,216.44484041,53.1603,7.3875,0.0001824,90.7231,269.3981,920.6336112,0.0005118200000000001,U,active,1 65686U 25212L   26216.44484041  .00016950  00000+0  51182-3 0  9999,2 65686  53.1603   7.3875 0001824  90.7231 269.3981 15.34389352 49989,6840.871888490089,93.84840934427964,469.8718884900891
STARLINK-34856,65687,26,216.472617,53.1601,18.2535,0.0001367,99.6491,260.4665,919.0265112,0.00038929000000000004,U,active,1 65687U 25212M   26216.47261700  .00011738  00000+0  38929-3 0  9991,2 65687  53.1601  18.2535 0001367  99.6491 260.4665 15.31710852 49835,6848.844646169332,94.01252188817163,477.844646169332
STARLINK-34930,65688,26,216.82688896,53.1617,16.9093,9.96e-05,118.36059999999999,241.74959999999996,919.0062737999999,0.00012926000000000002,U,active,1 65688U 25212N   26216.82688896  .00003645  00000+0  12926-3 0  9997,2 65688  53.1617  16.9093 0000996 118.3606 241.7496 15.31677123 49939,6848.945191221021,94.0145921341152,477.94519122102065
STARLINK-34875,65689,26,216.74333784,53.15970000000001,16.3944,0.0001085,111.7349,248.37690000000003,920.6424894,0.00067535,U,active,1 65689U 25212P   26216.74333784  .00022513  00000+0  67535-3 0  9993,2 65689  53.1597  16.3944 0001085 111.7349 248.3769 15.34404149 49932,6840.827908532529,93.8475043187595,469.82790853252936
STARLINK-34790,65690,26,216.82741001,53.1606,16.2074,8.5e-05,127.3555,232.75260000000003,920.6318448000001,0.00058774,U,active,1 65690U 25212Q   26216.82741001  .00019525  00000+0  58774-3 0  9993,2 65690  53.1606  16.2074 0000850 127.3555 232.7526 15.34386408 49899,6840.880638793704,93.84858940955894,469.88063879370384
STARLINK-34691,65691,26,216.72379053,53.1604,7.6936,0.0001275,74.8684,285.2458,918.0939174,0.00035068,U,active,1 65691U 25212R   26216.72379053  .00010027  00000+0  35068-3 0  9996,2 65691  53.1604   7.6936 0001275  74.8684 285.2458 15.30156529 50052,6853.481869062495,94.10801919337496,482.4818690624952
STARLINK-34825,65692,26,216.47858281,53.1609,17.5825,0.0001502,89.9714,270.1461,920.6373834000001,0.0005812699999999999,U,active,1 65692U 25212S   26216.47858281  .00019311  00000+0  58127-3 0  9990,2 65692  53.1609  17.5825 0001502  89.9714 270.1461 15.34395639 49886,6840.853202048844,93.8480248118067,469.85320204884374
STARLINK-35060,65693,26,216.4077644,53.1581,9.2772,0.0002135,88.8896,271.2349,918.1176629999999,0.00042068,U,active,1 65693U 25212T   26216.40776440  .00012119  00000+0  42068-3 0  9996,2 65693  53.1581   9.2772 0002135  88.8896 271.2349 15.30196105 50003,6853.363699211915,94.10558524457885,482.36369921191545
STARLINK-35204,65694,26,216.92191787,53.1603,15.3731,0.0001362,83.7956,276.3202,920.6476541999999,0.00091331,U,active,1 65694U 25212U   26216.92191787  .00030620  00000+0  91331-3 0  9993,2 65694  53.1603  15.3731 0001362  83.7956 276.3202 15.34412757 49970,6840.802323977386,93.84697783765886,469.80232397738564
STARLINK-35221,65695,26,216.47340336,53.161,18.9661,7.91e-05,79.8296,280.2795,919.0389594000001,0.0018558,U,active,1 65695U 25212V   26216.47340336  .00057726  00000+0  18558-2 0  9995,2 65695  53.1610  18.9661 0000791  79.8296 280.2795 15.31731599 49884,6848.782801870266,94.01124850725233,477.78280187026576
STARLINK-34734,65696,26,216.44928051,53.1606,18.1065,0.0001507,97.7987,262.3186,919.0159524000001,0.00030459000000000004,U,active,1 65696U 25212W   26216.44928051  .00009096  00000+0  30459-3 0  9991,2 65696  53.1606  18.1065 0001507  97.7987 262.3186 15.31693254 49882,6848.897104774421,94.01360202112635,477.89710477442077
STARLINK-35113,65697,26,216.83737435,53.1605,14.133,0.0001771,76.3174,283.8026,920.6367012,0.0006303,U,active,1 65697U 25212X   26216.83737435  .00020975  00000+0  63030-3 0  9999,2 65697  53.1605  14.1330 0001771  76.3174 283.8026 15.34394502 49975,6840.856581470551,93.84809435402943,469.85658147055074
STARLINK-35090,65698,26,216.44492098,53.1617,17.3713,0.0001841,86.2588,273.8625,920.6336663999999,0.00056652,U,active,1 65698U 25212Y   26216.44492098  .00018806  00000+0  56652-3 0  9992,2 65698  53.1617  17.3713 0001841  86.2588 273.8625 15.34389444 49890,6840.871615043553,93.84840371725082,469.871615043553
STARLINK-35086,65699,26,216.46404869,53.1607,18.9088,0.0001162,95.56780000000002,264.5456,919.0299264,0.00096925,U,active,1 65699U 25212Z   26216.46404869  .00029848  00000+0  96925-3 0  9999,2 65699  53.1607  18.9088 0001162  95.5678 264.5456 15.31716544 49825,6848.827678866418,94.0121725289663,477.82767886641795
STARLINK-35101,65700,26,216.84367993,53.1612,14.1757,4.55e-05,72.9321,287.1731,920.6351460000001,0.00061344,U,active,1 65700U 25212AA  26216.84367993  .00020401  00000+0  61344-3 0  9993,2 65700  53.1612  14.1757 0000455  72.9321 287.1731 15.34391910 49920,6840.8642854976415,93.84825288866388,469.8642854976415
STARLINK-35046,65701,26,216.47437702,53.1601,17.5564,0.0002108,101.3858,258.7382,920.63661,0.0005129700000000001,U,active,1 65701U 25212AB  26216.47437702  .00016992  00000+0  51297-3 0  9995,2 65701  53.1601  17.5564 0002108 101.3858 258.7382 15.34394350 49894,6840.857033249317,93.84810365079876,469.8570332493173
STARLINK-35075,65702,26,216.45940508,53.1613,18.8774,7.02e-05,86.7319,273.3763,919.01541,0.00075525,U,active,1 65702U 25212AC  26216.45940508  .00023138  00000+0  75525-3 0  9997,2 65702  53.1613  18.8774 0000702  86.7319 273.3763 15.31692350 49873,6848.899799572487,94.01365750765812,477.8997995724867
STARLINK-34839,65703,26,216.85944949,53.1602,16.3979,7.9e-05,100.9765,259.1325,919.0297643999999,0.00032335999999999997,U,active,1 65703U 25212AD  26216.85944949  .00009688  00000+0  32336-3 0  9992,2 65703  53.1602  16.3979 0000790 100.9765 259.1325 15.31716274 49949,6848.828483707998,94.01218910076032,477.8284837079982
SHIKONGXING 01,65712,26,216.98945812,49.9857,64.4871,0.0013238,80.0886,280.155,895.8148902,0.00017883,U,active,1 65712U 25214A   26216.98945812  .00001635  00000+0  17883-3 0  9992,2 65712  49.9857  64.4871 0013238  80.0886 280.1550 14.93024817 46990,6966.647291814569,96.44849727906431,595.6472918145691
GEESAT-6 01,65713,26,216.96483712,49.9864,82.5806,0.0012088,55.1787,305.0286,890.0812434,0.00015425,U,active,1 65713U 25214B   26216.96483712  .00001054  00000+0  15425-3 0  9992,2 65713  49.9864  82.5806 0012088  55.1787 305.0286 14.83468739 46743,6996.53335193757,97.0697906968163,625.5333519375699
