primary_norad_id,primary_name,secondary_norad_id,secondary_name,tca_timestamp,min_distance_km,collision_probability,risk_label,primary_semi_major_axis,primary_eccentricity,primary_inclination,primary_raan,primary_arg_perigee,primary_mean_anomaly,primary_altitude,secondary_semi_major_axis,secondary_eccentricity,secondary_inclination,secondary_raan,secondary_arg_perigee,secondary_mean_anomaly,secondary_altitude,miss_distance,relative_velocity,time_to_tca,altitude_difference,inclination_difference,raan_difference,radial_miss,intrack_miss,crosstrack_miss,orbital_period_ratio,combined_mass,combined_cross_section,kinetic_energy,hardness_factor,momentum_transfer,hours_until_tca,orbital_decay_rate,time_since_epoch
67882,STARLINK-36817,58435,COSMOS 2572,1773032400.0,6.005206108093262,1.5143560381339004e-37,0,6664.244443396174,0.001350369041882303,97.27744785156273,0.5181843434146977,0.0,357.06639545898395,293.2731224042727,6679.563963476542,0.00203034873177421,96.67831561189692,173.8974736799708,0.0,357.06876862461223,295.8224861998542,6.005206074732157,15.333223107536083,156.0,2.5493637955814847,0.5991322396658063,173.3792893365561,2.5471457559163952,5.344009926612125,-1.0080210327106307,1.0034501257031725,501.0,5.01,117553865.43273926,99.999999998004,15333.223107536083,156.0,2.0,0.0
67906,STARLINK-36763,63142,STARLINK-11503 [DTC],1773014400.0,7.909646034240723,1.4541876921278877e-60,0,6727.072239478908,0.0005041204028572473,43.01462400861464,254.43558258894336,0.0,85.78168361623761,353.41032730751795,6735.470479345636,0.0010917079653790483,43.01528641695863,254.37845325804665,0.0,85.72595405497567,358.00591190853356,7.9096460097781875,0.007080078125,151.0,4.5955846010156165,0.0006624083439916717,0.05712933089671424,4.592503059277879,-4.669386528564679,-4.434889524822525,1.0018732206591594,501.0,5.01,25.063753128051758,99.999999998004,7.080078125,151.0,0.1,0.0
67904,STARLINK-36814,63137,STARLINK-11616 [DTC],1772985600.0,8.0,8.203971919919799e-62,0,6723.234168160472,0.0010732025199284684,42.97500082448118,256.4542182969293,0.0,338.6016502543625,346.4364902096395,6722.391015940818,0.0004185518019728245,42.96406634760189,256.4544102867829,0.0,338.51524566951673,348.5857759239889,8.0,0.00500339392869121,143.0,2.1492857143493893,0.010934476879285171,0.00019198985359025755,2.1448658310352164,-7.600527330627792,-1.2773154908774487,0.9998118928115504,501.0,5.01,12.516975402832031,99.999999998004,5.00339392869121,143.0,0.1,0.0
67904,STARLINK-36814,63143,STARLINK-11579 [DTC],1772953200.0,5.656854152679443,5.11531000327149e-34,0,6718.2744708134505,0.0008724675136370197,42.97348482790997,258.6755482242563,0.0,19.989625024936988,347.53146156211733,6728.250465715236,0.0010391924775843711,42.99921954720782,258.69717941679806,0.0,20.030586115138956,351.09379583474765,5.656854249492381,0.006253051013118016,134.0,3.5623342726303235,0.025734719297851427,0.02163119254174717,3.5608972194106694,2.7081224051180497,3.462092435463028,1.0022281831544668,501.0,5.01,19.550323486328125,99.999999998004,6.253051013118016,134.0,0.1,0.0
67876,STARLINK-36743,67871,STARLINK-36769,1772946000.0,8.062257766723633,1.1102862037252103e-62,0,6736.478866533638,0.0007377686199466997,53.139518622317894,218.90861849184884,0.0,184.54539078232133,369.3601953085563,6728.89664040772,0.0010616822231268967,53.14787723318728,218.8295027705657,0.0,184.5559971723557,364.61504708367374,8.06225774829855,0.008734640537108554,132.0,-4.745148224882541,0.008358610869386496,0.07911572128313082,-4.748299656489561,5.001172911958014,4.176352460805594,0.9983121540933299,501.0,5.01,38.14697265625,99.999999998004,8.734640537108554,132.0,0.1,0.0
67876,STARLINK-36743,64241,STARLINK-11689 [DTC],1772902800.0,8.588691711425781,2.702152110832641e-70,0,6739.13519783373,0.001341128207685759,53.16523005925059,221.34201121715773,0.0,222.35153648470254,364.0541676088251,6736.254979000607,0.0012409709588215869,43.01369010639389,220.9800293622783,0.0,222.3974377975002,358.0729348477116,8.588691693150942,1.362588526098425,120.0,-5.981232761113461,10.151539952856702,0.36198185487944556,-5.984053115538389,0.843086822625317,-6.102945020228317,0.9993589879892681,501.0,5.01,928323.7457275392,99.999999998004,1362.588526098425,120.0,0.1,0.0
67824,STARLINK-36647,67827,STARLINK-36289,1772913600.0,8.246211051940918,2.7521440711907416e-65,0,6702.228605013487,0.0002263376011942201,43.00023807443646,282.8210118761746,0.0,136.47019630029502,329.71876741592587,6701.725185488682,0.0002154430416611304,42.998997271291884,282.8302570854242,0.0,136.53859442538896,330.46521292172383,8.246211251235321,0.008052940675034493,123.0,0.7464455057979649,0.0012408031445758638,0.009245209249570507,0.7414129994767398,8.187633019727684,0.642629207606936,0.9998873337285753,501.0,5.01,32.4249267578125,99.999999998004,8.052940675034494,123.0,0.1,0.0
67824,STARLINK-36647,67825,STARLINK-36648,1772946000.0,1.0,4.316471572090465e-07,0,6705.944678413789,0.0011647408234102099,43.01822404852408,280.52688347071876,0.0,118.36341095079506,328.18689095923037,6704.010692205341,0.0007519344328655568,42.999679214689586,280.5048944674062,0.0,118.36341095079506,328.46176942595866,1.0,0.004367320268554277,132.0,0.2748784667282962,0.0185448338344969,0.021989003312569366,0.27480947015890267,0.6244348005378596,-0.7311367416483795,0.9995674330341202,501.0,5.01,9.5367431640625,99.999999998004,4.367320268554277,132.0,0.1,0.0
67824,STARLINK-36647,67826,STARLINK-35865,1772935200.0,5.656854152679443,5.11531000327149e-34,0,6702.421904738084,0.0005736391931139333,43.0091527702993,281.29410162874296,0.0,124.1037847033189,327.57925234896356,6701.794655446156,0.0002107119775295052,43.00864876529328,281.2900693509969,0.0,124.13389919383843,331.05013410075844,5.656854249492381,0.005524271728019903,129.0,3.4708817517948773,0.0005040050060216572,0.004032277746091495,3.469392407628853,4.4610691789813,-0.24935537337170732,0.9998596250821138,501.0,5.01,15.258789062500002,99.999999998004,5.524271728019903,129.0,0.1,0.0
67823,STARLINK-36646,67821,STARLINK-36644,1772906400.0,1.5,3.5431756305514405e-08,0,6696.82401010479,0.00030028347209270264,42.97467667659576,283.36595954646884,0.0,10.217548439694385,323.81935902679925,6702.791510315951,0.0012198048417596695,42.9765602958591,283.36084250355276,0.0,10.200292242642533,323.6247094217315,1.5,0.004173662352851259,121.0,-0.19464960506775242,0.0018836192633386872,0.005117042916083392,-0.19481481576368842,-1.4683917899100614,0.23637415020177666,1.0013369388397708,501.0,5.01,8.709728717803955,99.999999998004,4.1736623528512595,121.0,0.1,0.0
67823,STARLINK-36646,67822,STARLINK-36643,1772694000.0,4.4721360206604,1.3549961542416777e-23,0,6698.182701292315,0.0006247837540434758,42.98724884219421,298.4257195692595,0.0,49.177106968902216,325.44681902275715,6700.4070258281,0.0008400584998918353,42.9891604590911,298.4202430343083,0.0,49.13023341534711,324.1519773639193,4.47213595499958,0.004026470337517247,62.0,-1.2948416588378677,0.0019116168968906777,0.005476534951185386,-1.2962098011952228,-4.279022998407473,0.09900671888661106,1.0004981595652571,501.0,5.01,8.106231689453125,99.999999998004,4.026470337517247,62.0,0.1,0.0
67875,STARLINK-36727,67871,STARLINK-36769,1772906400.0,9.394146919250488,7.09161208679057e-83,0,6732.669420218181,0.0010212767619732926,53.140909515613366,221.1827246351793,0.0,82.70044569718146,368.3532516110181,6726.7487334328425,0.0012255525970854282,53.145371887329894,221.11594240714226,0.0,82.61020329005127,363.45001466341,9.394147114027968,0.011219848919019587,121.0,-4.903236947608093,0.004462371716527969,0.0667822280370558,-4.908000629302617,-6.962388063383523,-3.9606416497352237,0.9986811951024829,501.0,5.01,62.94250488281249,99.999999998004,11.219848919019586,121.0,0.1,0.0
67827,STARLINK-36289,67825,STARLINK-36648,1772902800.0,8.246211051940918,2.7521440711907416e-65,0,6700.589675072115,0.0003580742080532781,42.99951647564584,283.59779896423174,0.0,143.87281339909546,330.9065943953592,6698.652275810319,4.089506447653959e-05,42.992667504379305,283.58267409117377,0.0,143.93736948616584,327.9040894761283,8.246211251235321,0.011388577919619728,120.0,-3.002504919230887,0.006848971266535386,0.015124873057970945,-3.0069055299655068,7.676334960752105,-0.18000195608816294,0.9995663234197099,501.0,5.01,64.849853515625,99.999999998004,11.388577919619728,120.0,0.1,0.0
67827,STARLINK-36289,67829,STARLINK-36144,1772928000.0,5.74456262588501,6.922807401419896e-35,0,6692.241308480089,0.00018277638980385705,42.983624848555124,281.77657582059334,0.0,16.224681722187952,322.22792081668194,6701.9663197982345,0.0005229669385046679,42.987025537917795,281.7762751350672,0.0,16.200419941610395,327.5599198633736,5.744562646538029,0.0025952504425621704,127.0,5.331999046691635,0.0034006893626710166,0.0003006855261560304,5.331657672826596,-2.1016502348632815,0.3955916456238673,1.0021805572427616,501.0,5.01,3.367662429809571,99.999999998004,2.5952504425621705,127.0,0.1,0.0
67827,STARLINK-36289,67826,STARLINK-35865,1772881200.0,3.0,4.8575488253591554e-14,0,6704.988438995933,0.0001389219189986295,42.97951997298672,285.135870625963,0.0,160.14366197471352,333.09337643801064,6701.935584692815,0.00021354259528031603,42.976058197731724,285.14064568973674,0.0,160.1740062705908,332.2840458986966,3.0,0.003126525506559008,114.0,-0.8093305393140326,0.00346177525499769,0.004775063773763577,-0.8099529190753848,2.8388018607606,0.5340227188267607,0.999317111400327,501.0,5.01,4.887580871582031,99.999999998004,3.126525506559008,114.0,0.1,0.0
67874,STARLINK-36730,67871,STARLINK-36769,1772773200.0,6.4031243324279785,7.790570752514215e-42,0,6731.889473728844,0.0013980148431160292,53.148253622883146,228.70901630251575,0.0,20.386154599580834,356.07871219000936,6729.275772839633,0.0017060826193810673,53.14566994453152,228.6893136826756,0.0,20.371841629342658,349.8884085364789,6.4031242374328485,0.005715185503281067,84.0,-6.190303653530464,0.0025836783516268724,0.019702619840160196,-6.190502858921079,-0.432628974183098,-1.5781338740379667,0.9994176715498007,501.0,5.01,16.331672668457035,99.999999998004,5.7151855032810674,84.0,0.1,0.0
67825,STARLINK-36648,67829,STARLINK-36144,1772913600.0,6.0,1.7159915771324219e-37,0,6696.922916906821,0.0005044282899377155,43.006931879027036,282.8374143220104,0.0,136.99375468474867,328.3707167166085,6707.096483033759,0.00029872957623567584,42.995715369732075,282.8322643908228,0.0,136.99185649711927,334.3068535302691,6.0,0.001953125,123.0,5.936136813660596,0.011216509294960986,0.005149931187588663,5.936079921770604,-0.6427980537403175,0.5914100307388086,1.0022795757942091,501.0,5.01,1.9073486328125,99.999999998004,1.953125,123.0,0.1,0.0
67825,STARLINK-36648,67826,STARLINK-35865,1772924400.0,2.8284270763397217,3.589272043075579e-13,0,6697.649645028021,0.0003659845436092843,43.00138986457556,282.0625329760133,0.0,130.45720312583134,328.6217803693962,6704.895630907994,0.0004888382211268149,43.0064987127013,282.0660653501172,0.0,130.47143687851596,330.6192073259426,2.8284271247461903,0.004367320268554277,126.0,1.9974269565464056,0.005108848125743748,0.0035323741038837397,1.9971276646100562,1.9987250945891772,-0.1287598054845296,1.0016232437603798,501.0,5.01,9.5367431640625,99.999999998004,4.367320268554277,126.0,0.1,0.0
